Song,Artist,Genre,Energy,Danceability,Acousticness,Valence
Blinding Lights,The Weeknd,Pop,0.8,0.7,0.1,0.6
Shape of You,Ed Sheeran,Pop,0.65,0.83,0.58,0.93
Believer,Imagine Dragons,Rock,0.88,0.74,0.06,0.67
Perfect,Ed Sheeran,Pop,0.45,0.6,0.7,0.4
Levitating,Dua Lipa,Pop,0.82,0.88,0.05,0.91
Thunder,Imagine Dragons,Rock,0.82,0.61,0.02,0.29
Someone Like You,Adele,Pop,0.35,0.55,0.85,0.28
Havana,Camila Cabello,Pop,0.7,0.77,0.18,0.39
Faded,Alan Walker,EDM,0.75,0.63,0.15,0.3
Starboy,The Weeknd,Pop,0.68,0.68,0.14,0.49
Dance Monkey,Tones and I,Pop,0.82,0.82,0.69,0.54
Bad Guy,Billie Eilish,Pop,0.43,0.7,0.33,0.56
Lovely,Billie Eilish,Pop,0.3,0.35,0.93,0.12
Stay,The Kid LAROI & Justin Bieber,Pop,0.72,0.59,0.31,0.48
As It Was,Harry Styles,Pop,0.73,0.52,0.34,0.66
Watermelon Sugar,Harry Styles,Pop,0.82,0.55,0.12,0.56
Counting Stars,OneRepublic,Pop Rock,0.87,0.66,0.07,0.48
Radioactive,Imagine Dragons,Rock,0.78,0.45,0.12,0.25
Demons,Imagine Dragons,Rock,0.71,0.51,0.19,0.43
Shallow,Lady Gaga & Bradley Cooper,Pop,0.57,0.57,0.42,0.28
Cheap Thrills,Sia,Pop,0.73,0.63,0.05,0.74
New Rules,Dua Lipa,Pop,0.7,0.76,0.02,0.61
Don't Start Now,Dua Lipa,Pop,0.79,0.79,0.01,0.68
Memories,Maroon 5,Pop,0.45,0.76,0.84,0.5
Girls Like You,Maroon 5,Pop,0.58,0.85,0.57,0.45
Photograph,Ed Sheeran,Pop,0.35,0.65,0.88,0.3
Let Her Go,Passenger,Folk Pop,0.42,0.55,0.77,0.22
See You Again,Wiz Khalifa & Charlie Puth,Hip Hop,0.65,0.69,0.36,0.46
Closer,The Chainsmokers,EDM,0.75,0.75,0.41,0.64
Something Just Like This,The Chainsmokers & Coldplay,EDM,0.78,0.62,0.05,0.45
Wake Me Up,Avicii,EDM,0.92,0.53,0.01,0.66
The Nights,Avicii,EDM,0.92,0.53,0.02,0.65
Alone,Marshmello,EDM,0.84,0.67,0.0,0.43
On My Way,Alan Walker,EDM,0.88,0.67,0.06,0.49
Happier,Marshmello,EDM,0.69,0.69,0.19,0.53
Despacito,Luis Fonsi & Daddy Yankee,Latin Pop,0.8,0.66,0.2,0.82
Taki Taki,DJ Snake,Latin Pop,0.8,0.84,0.12,0.62
Señorita,Shawn Mendes & Camila Cabello,Pop,0.55,0.76,0.04,0.75
Attention,Charlie Puth,Pop,0.8,0.78,0.1,0.68
We Don't Talk Anymore,Charlie Puth,Pop,0.56,0.73,0.6,0.58
Love Yourself,Justin Bieber,Pop,0.38,0.61,0.84,0.45
Sorry,Justin Bieber,Pop,0.76,0.65,0.01,0.76
One Dance,Drake,Hip Hop,0.63,0.79,0.01,0.59
God's Plan,Drake,Hip Hop,0.45,0.75,0.03,0.36
Sunflower,Post Malone & Swae Lee,Hip Hop,0.48,0.76,0.54,0.93
Circles,Post Malone,Pop,0.7,0.7,0.19,0.55
Stay With Me,Sam Smith,Pop,0.42,0.52,0.72,0.29
Lovely Day,Bill Withers,Soul,0.75,0.72,0.18,0.9
Happy,Pharrell Williams,Pop,0.82,0.65,0.04,0.96
Rolling in the Deep,Adele,Pop,0.77,0.73,0.13,0.52
